step,avg_reward
2048,1.2727272727272727
4096,1.0909090909090908
6144,1.3870967741935485
8192,1.4285714285714286
10240,1.4807692307692308
12288,1.6166666666666667
14336,1.6857142857142857
16384,1.5542168674698795
18432,1.5483870967741935
20480,1.65
22528,1.56
24576,1.57
26624,1.48
28672,1.45
30720,1.25
32768,1.19
34816,1.27
36864,1.26
38912,1.18
40960,1.25
43008,1.3
45056,1.34
47104,1.37
49152,1.42
51200,1.44
53248,1.45
55296,1.43
57344,1.53
59392,1.56
61440,1.54
63488,1.52
65536,1.52
67584,1.48
69632,1.47
71680,1.51
73728,1.51
75776,1.48
77824,1.54
79872,1.58
81920,1.67
83968,1.63
86016,1.6
88064,1.67
90112,1.71
92160,1.83
94208,1.89
96256,2.0
98304,2.06
100352,2.12
102400,2.1
104448,2.14
106496,2.38
108544,2.55
110592,2.59
112640,2.6
114688,2.74
116736,2.71
118784,2.69
120832,2.7
122880,2.77
124928,2.85
126976,2.93
129024,2.82
131072,2.69
133120,2.61
135168,2.57
137216,2.63
139264,2.71
141312,2.78
143360,2.77
145408,2.74
147456,2.66
149504,2.6
151552,2.66
153600,2.75
155648,2.83
157696,2.81
159744,2.67
161792,2.71
163840,2.68
165888,2.74
167936,2.71
169984,2.71
172032,2.76
174080,2.74
176128,2.76
178176,2.93
180224,2.8
182272,2.81
184320,2.73
186368,2.74
188416,2.79
190464,2.73
192512,2.79
194560,2.71
196608,2.72
198656,2.62
200704,2.4
202752,2.45
204800,2.4
206848,2.33
208896,2.27
210944,2.22
212992,2.31
215040,2.24
217088,2.31
219136,2.33
221184,2.4
223232,2.52
225280,2.49
227328,2.54
229376,2.59
231424,2.49
233472,2.45
235520,2.4
237568,2.3
239616,2.31
241664,2.46
243712,2.5
245760,2.6
247808,2.75
249856,2.73
251904,2.81
253952,2.79
256000,2.72
258048,2.79
260096,3.0
262144,3.03
264192,2.97
266240,2.72
268288,2.6
270336,2.42
272384,2.4
274432,2.52
276480,2.46
278528,2.42
280576,2.44
282624,2.36
284672,2.33
286720,2.3
288768,2.38
290816,2.45
292864,2.4
294912,2.4
296960,2.42
299008,2.56
301056,2.35
303104,2.32
305152,2.42
307200,2.58
309248,2.64
311296,2.66
313344,2.72
315392,2.73
317440,2.76
319488,2.69
321536,2.68
323584,2.74
325632,2.73
327680,2.69
329728,2.63
331776,2.49
333824,2.44
335872,2.37
337920,2.53
339968,2.48
342016,2.55
344064,2.46
346112,2.56
348160,2.54
350208,2.57
352256,2.66
354304,2.72
356352,2.74
358400,2.71
360448,2.7
362496,2.72
364544,2.7
366592,2.64
368640,2.68
370688,2.72
372736,2.64
374784,2.56
376832,2.65
378880,2.63
380928,2.6
382976,2.52
385024,2.48
387072,2.49
389120,2.47
391168,2.44
393216,2.38
395264,2.44
397312,2.43
399360,2.41
401408,2.32
403456,2.43
405504,2.64
407552,2.62
409600,2.68
411648,2.79
413696,2.86
415744,2.91
417792,3.01
419840,3.0
421888,3.14
423936,3.23
425984,3.19
428032,3.1
430080,3.15
432128,3.34
434176,3.21
436224,3.21
438272,3.14
440320,3.09
442368,3.01
444416,2.97
446464,3.14
448512,3.05
450560,3.08
452608,3.05
454656,2.89
456704,2.83
458752,2.81
460800,2.71
462848,2.83
464896,2.99
466944,3.06
468992,3.06
471040,3.12
473088,3.23
475136,3.36
477184,3.3
479232,3.41
481280,3.4
483328,3.37
485376,3.32
487424,3.22
489472,3.22
491520,3.16
493568,3.21
495616,3.12
497664,3.13
499712,3.19
