step,avg_reward
2048,1.4545454545454546
4096,1.3181818181818181
6144,1.34375
8192,1.2954545454545454
10240,1.3518518518518519
12288,1.359375
14336,1.4
16384,1.3953488372093024
18432,1.3673469387755102
20480,1.33
22528,1.36
24576,1.34
26624,1.37
28672,1.39
30720,1.39
32768,1.37
34816,1.57
36864,1.69
38912,1.85
40960,2.0
43008,2.1
45056,2.2
47104,2.38
49152,2.44
51200,2.6
53248,2.75
55296,2.97
57344,3.02
59392,3.11
61440,3.09
63488,3.06
65536,3.05
67584,3.2
69632,3.21
71680,3.35
73728,3.39
75776,3.35
77824,3.3
79872,3.44
81920,3.42
83968,3.48
86016,3.53
88064,3.72
90112,3.72
92160,3.87
94208,3.74
96256,3.65
98304,3.78
100352,3.83
102400,3.76
104448,3.61
106496,3.6
108544,3.67
110592,3.62
112640,3.62
114688,3.39
116736,3.55
118784,3.62
120832,3.55
122880,3.71
124928,3.8
126976,4.01
129024,4.02
131072,4.15
133120,4.07
135168,4.31
137216,4.35
139264,4.47
141312,4.59
143360,4.73
145408,4.75
147456,4.62
149504,4.64
151552,4.6
153600,4.87
155648,4.89
157696,5.02
159744,4.93
161792,5.01
163840,5.06
165888,4.97
167936,4.85
169984,4.83
172032,4.94
174080,4.99
176128,5.0
178176,4.84
180224,4.87
182272,4.8
184320,4.69
186368,4.69
188416,4.53
190464,4.54
192512,4.44
194560,4.41
196608,4.44
198656,4.45
200704,4.4
202752,4.36
204800,4.28
206848,4.32
208896,4.31
210944,4.18
212992,4.37
215040,4.37
217088,4.5
219136,4.68
221184,4.66
223232,4.66
225280,4.69
227328,4.77
229376,4.78
231424,4.9
233472,5.06
235520,5.23
237568,5.35
239616,5.24
241664,5.31
243712,5.14
245760,5.21
247808,5.26
249856,5.3
251904,5.34
253952,5.4
256000,5.63
258048,5.35
260096,5.22
262144,5.31
264192,5.17
266240,5.16
268288,5.09
270336,5.17
272384,5.05
274432,5.06
276480,4.97
278528,5.1
280576,5.0
282624,4.94
284672,5.07
286720,5.02
288768,5.01
290816,5.11
292864,5.43
294912,5.53
296960,5.56
299008,5.76
301056,5.78
303104,5.79
305152,5.72
307200,5.66
309248,5.67
311296,5.65
313344,5.64
315392,5.67
317440,5.74
319488,5.68
321536,5.75
323584,5.56
325632,5.44
327680,5.34
329728,5.39
331776,5.45
333824,5.5
335872,5.74
337920,5.84
339968,5.85
342016,6.01
344064,5.99
346112,5.96
348160,6.13
350208,6.11
352256,6.09
354304,6.29
356352,6.33
358400,6.33
360448,6.33
362496,6.46
364544,6.5
366592,6.33
368640,6.3
370688,6.28
372736,6.14
374784,6.12
376832,6.07
378880,5.87
380928,5.84
382976,5.96
385024,6.09
387072,6.11
389120,6.35
391168,6.27
393216,6.1
395264,6.08
397312,6.02
399360,6.15
401408,6.26
403456,6.25
405504,6.28
407552,6.56
409600,6.6
411648,6.65
413696,6.58
415744,6.46
417792,6.59
419840,6.52
421888,6.57
423936,6.5
425984,6.51
428032,6.61
430080,6.74
432128,6.76
434176,6.6
436224,6.56
438272,6.61
440320,6.7
442368,6.78
444416,6.84
446464,6.85
448512,6.96
450560,6.86
452608,6.9
454656,6.96
456704,6.98
458752,7.01
460800,7.15
462848,7.06
464896,7.26
466944,7.38
468992,7.47
471040,7.54
473088,7.45
475136,7.32
477184,7.22
479232,7.21
481280,7.25
483328,7.07
485376,7.27
487424,6.98
489472,7.01
491520,7.08
493568,7.03
495616,7.08
497664,6.95
499712,6.79
501760,6.83
503808,6.93
505856,7.04
507904,7.08
509952,7.2
512000,7.21
514048,7.23
516096,7.27
518144,7.24
520192,7.38
522240,7.41
524288,7.48
526336,7.38
528384,7.35
530432,7.46
532480,7.59
534528,7.68
536576,7.78
538624,7.77
540672,7.7
542720,7.63
544768,7.78
546816,7.89
548864,7.75
550912,7.99
552960,8.06
555008,7.95
557056,7.98
559104,7.92
561152,8.1
563200,8.09
565248,8.09
567296,7.88
569344,7.74
571392,7.74
573440,7.95
575488,7.82
577536,8.03
579584,7.96
581632,7.91
583680,7.75
585728,7.87
587776,7.72
589824,7.82
591872,7.89
593920,7.96
595968,8.13
598016,8.4
600064,8.56
602112,8.59
604160,8.65
606208,8.7
608256,8.81
610304,8.83
612352,8.82
614400,8.73
616448,8.86
618496,8.91
620544,8.95
622592,8.95
624640,9.04
626688,9.07
628736,8.98
630784,8.81
632832,8.67
634880,8.5
636928,8.24
638976,8.34
641024,8.46
643072,8.55
645120,8.57
647168,8.54
649216,8.51
651264,8.56
653312,8.29
655360,8.3
657408,8.36
659456,8.29
661504,8.28
663552,8.43
665600,8.56
667648,8.6
669696,8.69
671744,8.73
673792,8.66
675840,8.69
677888,8.6
679936,8.36
681984,8.37
684032,8.39
686080,8.43
688128,8.47
690176,8.5
692224,8.48
694272,8.42
696320,8.44
698368,8.52
700416,8.42
702464,8.42
704512,8.44
706560,8.47
708608,8.47
710656,8.6
712704,8.71
714752,8.77
716800,9.0
718848,9.17
720896,9.18
722944,9.04
724992,9.12
727040,9.09
729088,9.22
731136,9.38
733184,9.51
735232,9.67
737280,9.74
739328,9.8
741376,9.79
743424,9.79
745472,9.82
747520,9.75
749568,9.77
751616,9.84
753664,9.77
755712,9.82
757760,9.68
759808,9.98
761856,10.04
763904,10.12
765952,10.19
768000,10.14
770048,10.17
772096,10.2
774144,10.44
776192,10.57
778240,10.59
780288,10.4
782336,10.3
784384,10.37
786432,10.27
788480,10.29
790528,10.43
792576,10.45
794624,10.41
796672,10.27
798720,10.16
800768,9.88
802816,9.47
804864,9.45
806912,9.33
808960,9.51
811008,9.53
813056,9.45
815104,9.27
817152,9.15
819200,8.83
821248,8.98
823296,9.08
825344,9.25
827392,9.23
829440,9.32
831488,8.91
833536,8.87
835584,8.87
837632,8.97
839680,9.17
841728,9.3
843776,9.48
845824,9.67
847872,9.38
849920,9.56
851968,9.49
854016,9.42
856064,9.5
858112,9.68
860160,9.75
862208,9.78
864256,9.75
866304,9.85
868352,9.76
870400,9.83
872448,9.79
874496,9.95
876544,9.92
878592,10.1
880640,9.99
882688,9.98
884736,10.14
886784,9.98
888832,9.92
890880,10.14
892928,10.08
894976,10.07
897024,10.07
899072,10.05
901120,9.84
903168,9.64
905216,9.54
907264,9.48
909312,9.54
911360,9.4
913408,9.49
915456,9.37
917504,9.39
919552,9.17
921600,9.17
923648,9.02
925696,8.9
927744,8.89
929792,8.79
931840,8.63
933888,8.89
935936,8.94
937984,9.09
940032,8.94
942080,8.88
944128,9.02
946176,9.22
948224,9.29
950272,9.4
952320,9.39
954368,9.39
956416,9.43
958464,9.7
960512,9.76
962560,10.01
964608,10.04
966656,10.3
968704,10.19
970752,10.31
972800,10.33
974848,10.53
976896,10.56
