step,avg_reward
2048,0.6153846153846154
4096,0.9565217391304348
6144,0.9428571428571428
8192,1.1333333333333333
10240,1.125
12288,1.1194029850746268
14336,1.1025641025641026
16384,1.2183908045977012
18432,1.2755102040816326
20480,1.32
22528,1.49
24576,1.58
26624,1.66
28672,1.65
30720,1.56
32768,1.64
34816,1.63
36864,1.53
38912,1.43
40960,1.24
43008,1.13
45056,1.18
47104,1.12
49152,1.22
51200,1.15
53248,1.17
55296,1.26
57344,1.22
59392,1.3
61440,1.28
63488,1.41
65536,1.46
67584,1.49
69632,1.58
71680,1.66
73728,1.65
75776,1.69
77824,1.72
79872,1.83
81920,1.78
83968,1.7
86016,1.69
88064,1.69
90112,1.69
92160,1.74
94208,1.81
96256,1.82
98304,1.85
100352,1.7
102400,1.7
104448,1.8
106496,1.8
108544,1.79
110592,1.64
112640,1.66
114688,1.69
116736,1.82
118784,1.92
120832,2.01
122880,2.04
124928,1.97
126976,1.92
129024,1.89
131072,1.84
133120,1.83
135168,1.74
137216,1.75
139264,1.82
141312,1.88
143360,2.01
145408,2.03
147456,2.17
149504,2.29
151552,2.48
153600,2.52
155648,2.51
157696,2.47
159744,2.4
161792,2.49
163840,2.51
165888,2.49
167936,2.5
169984,2.39
172032,2.3
174080,2.32
176128,2.3
178176,2.27
180224,2.1
182272,1.82
184320,1.75
186368,1.64
188416,1.65
190464,1.59
192512,1.58
194560,1.59
196608,1.64
198656,1.74
200704,1.84
202752,1.97
204800,2.06
206848,2.18
208896,2.17
210944,2.15
212992,2.18
215040,2.13
217088,2.16
219136,2.21
221184,2.28
223232,2.38
225280,2.39
227328,2.31
229376,2.43
231424,2.56
233472,2.67
235520,2.72
237568,2.81
239616,2.71
241664,2.68
243712,2.49
245760,2.49
247808,2.55
249856,2.55
251904,2.39
253952,2.45
256000,2.42
258048,2.37
260096,2.43
262144,2.49
264192,2.35
266240,2.41
268288,2.31
270336,2.27
272384,2.23
274432,2.2
276480,2.2
278528,2.12
280576,2.11
282624,2.05
284672,2.24
286720,2.18
288768,2.37
290816,2.51
292864,2.57
294912,2.69
296960,2.69
299008,2.62
301056,2.75
303104,2.79
305152,2.88
307200,2.75
309248,2.85
311296,2.81
313344,2.72
315392,2.6
317440,2.6
319488,2.57
321536,2.62
323584,2.67
325632,2.66
327680,2.69
329728,2.78
331776,2.71
333824,2.68
335872,2.71
337920,2.71
339968,2.85
342016,2.72
344064,2.52
346112,2.46
348160,2.43
350208,2.39
352256,2.27
354304,2.31
356352,2.32
358400,2.32
360448,2.28
362496,2.45
364544,2.51
366592,2.59
368640,2.6
370688,2.75
372736,2.82
374784,2.92
376832,2.89
378880,2.91
380928,2.94
382976,2.7
385024,2.78
387072,2.65
389120,2.74
391168,2.83
393216,2.84
395264,2.68
397312,2.88
399360,2.93
401408,3.05
403456,3.17
405504,3.34
407552,3.3
409600,3.27
411648,3.26
413696,3.11
415744,3.19
417792,3.09
419840,3.08
421888,3.01
423936,2.88
425984,2.73
428032,2.66
430080,2.84
432128,3.05
434176,2.96
436224,2.97
438272,3.05
440320,3.15
442368,3.2
444416,3.26
446464,3.28
448512,3.45
450560,3.52
452608,3.4
454656,3.27
456704,3.52
458752,3.66
460800,3.63
462848,3.59
464896,3.66
466944,3.57
468992,3.61
471040,3.58
473088,3.55
475136,3.63
477184,3.61
479232,3.42
481280,3.4
483328,3.28
485376,3.2
487424,3.17
489472,3.04
491520,3.02
493568,3.12
495616,3.31
497664,3.33
499712,3.22
501760,3.24
503808,3.12
505856,3.18
507904,3.3
509952,3.21
512000,3.45
514048,3.61
516096,3.62
518144,3.45
520192,3.38
522240,3.54
524288,3.63
526336,3.73
528384,3.8
530432,3.72
532480,3.74
534528,3.69
536576,3.49
538624,3.27
540672,3.33
542720,3.34
544768,3.15
546816,3.11
548864,3.2
550912,3.23
552960,3.24
555008,3.19
557056,3.2
559104,3.1
561152,3.0
563200,2.94
565248,2.89
567296,3.13
569344,3.25
571392,3.18
573440,3.21
575488,3.33
577536,3.52
579584,3.5
581632,3.63
583680,3.89
585728,3.94
587776,4.02
589824,4.16
591872,3.77
593920,3.86
595968,3.77
598016,3.6
600064,3.45
602112,3.63
604160,3.45
606208,3.42
608256,3.39
610304,3.28
612352,3.31
614400,3.52
616448,3.45
618496,3.55
620544,3.57
622592,3.48
624640,3.38
626688,3.47
628736,3.56
630784,3.69
632832,3.73
634880,3.68
636928,3.62
