step,avg_reward
2048,1.0
4096,1.0909090909090908
6144,1.0294117647058822
8192,1.0434782608695652
10240,0.9824561403508771
12288,1.0735294117647058
14336,1.1948051948051948
16384,1.1818181818181819
18432,1.2121212121212122
20480,1.23
22528,1.28
24576,1.35
26624,1.41
28672,1.43
30720,1.46
32768,1.61
34816,1.53
36864,1.56
38912,1.54
40960,1.59
43008,1.59
45056,1.44
47104,1.46
49152,1.49
51200,1.31
53248,1.21
55296,1.26
57344,1.24
59392,1.21
61440,1.13
63488,1.25
65536,1.19
67584,1.18
69632,1.22
71680,1.24
73728,1.23
75776,1.37
77824,1.32
79872,1.39
81920,1.35
83968,1.34
86016,1.38
88064,1.43
90112,1.53
92160,1.5
94208,1.54
96256,1.41
98304,1.39
100352,1.31
102400,1.27
104448,1.24
106496,1.25
108544,1.22
110592,1.13
112640,1.03
114688,1.1
116736,1.12
118784,1.18
120832,1.21
122880,1.21
124928,1.26
126976,1.17
129024,1.18
131072,1.17
133120,1.16
135168,1.21
137216,1.17
139264,1.2
141312,1.09
143360,1.08
145408,1.16
147456,1.21
149504,1.22
151552,1.2
153600,1.18
155648,1.2
157696,1.12
159744,1.21
161792,1.24
163840,1.24
165888,1.3
167936,1.32
169984,1.4
172032,1.32
174080,1.37
176128,1.47
178176,1.5
180224,1.42
182272,1.47
184320,1.41
186368,1.4
188416,1.4
190464,1.49
192512,1.47
194560,1.35
196608,1.32
198656,1.37
200704,1.35
202752,1.26
204800,1.22
206848,1.17
208896,1.07
210944,1.08
212992,1.14
215040,1.17
217088,1.2
219136,1.2
221184,1.21
223232,1.22
225280,1.23
227328,1.29
229376,1.39
231424,1.36
233472,1.32
235520,1.41
237568,1.45
239616,1.41
241664,1.47
243712,1.49
245760,1.51
247808,1.42
249856,1.49
251904,1.6
253952,1.54
256000,1.51
258048,1.43
260096,1.44
262144,1.42
264192,1.46
266240,1.43
268288,1.41
270336,1.34
272384,1.3
274432,1.25
276480,1.31
278528,1.33
280576,1.34
282624,1.33
284672,1.28
286720,1.31
288768,1.28
290816,1.3
292864,1.36
294912,1.22
296960,1.23
299008,1.18
301056,1.19
303104,1.22
305152,1.18
307200,1.2
309248,1.18
311296,1.2
313344,1.26
315392,1.23
317440,1.3
319488,1.3
321536,1.28
323584,1.17
325632,1.14
327680,1.2
329728,1.12
331776,1.13
333824,1.1
335872,1.17
337920,1.15
339968,1.14
342016,1.24
344064,1.28
346112,1.24
348160,1.24
350208,1.23
352256,1.22
354304,1.25
356352,1.26
358400,1.29
360448,1.21
362496,1.23
364544,1.27
366592,1.2
368640,1.19
370688,1.26
372736,1.19
374784,1.14
376832,1.1
378880,1.07
380928,1.05
382976,1.15
385024,1.22
387072,1.26
389120,1.21
391168,1.22
393216,1.25
395264,1.34
397312,1.41
399360,1.42
401408,1.35
403456,1.44
405504,1.31
407552,1.33
409600,1.28
411648,1.23
413696,1.21
415744,1.17
417792,1.19
419840,1.14
421888,1.13
423936,1.2
425984,1.29
428032,1.22
430080,1.23
432128,1.14
434176,1.08
436224,1.08
438272,1.01
440320,0.99
442368,0.96
444416,1.01
446464,1.11
448512,1.17
450560,1.2
452608,1.28
454656,1.25
456704,1.25
458752,1.25
460800,1.25
462848,1.21
464896,1.11
466944,1.04
468992,1.1
471040,1.17
473088,1.21
475136,1.28
477184,1.28
479232,1.25
481280,1.32
483328,1.39
485376,1.41
487424,1.42
489472,1.34
491520,1.33
493568,1.36
495616,1.28
497664,1.21
499712,1.17
