step,avg_reward
2048,1.6
4096,1.85
6144,1.7333333333333334
8192,1.8
10240,1.74
12288,1.8644067796610169
14336,1.8695652173913044
16384,2.0126582278481013
18432,2.044943820224719
20480,1.97
22528,2.05
24576,2.06
26624,2.17
28672,2.2
30720,2.3
32768,2.32
34816,2.36
36864,2.33
38912,2.25
40960,2.3
43008,2.35
45056,2.42
47104,2.51
49152,2.57
51200,2.62
53248,2.57
55296,2.66
57344,2.8
59392,2.81
61440,2.97
63488,2.99
65536,3.14
67584,3.19
69632,3.16
71680,3.04
73728,3.05
75776,3.12
77824,3.15
79872,2.96
81920,2.85
83968,2.79
86016,2.8
88064,2.74
90112,2.83
92160,2.85
94208,2.74
96256,2.78
98304,2.59
100352,2.56
102400,2.66
104448,2.7
106496,2.85
108544,2.86
110592,2.87
112640,2.86
114688,2.87
116736,2.91
118784,2.93
120832,2.93
122880,2.9
124928,2.82
126976,2.88
129024,2.75
131072,2.69
133120,2.63
135168,2.46
137216,2.37
139264,2.22
141312,2.4
143360,2.45
145408,2.6
147456,2.63
149504,2.55
151552,2.49
153600,2.44
155648,2.49
157696,2.52
159744,2.63
161792,2.63
163840,2.48
165888,2.29
167936,2.22
169984,2.25
172032,2.33
174080,2.35
176128,2.34
178176,2.48
180224,2.44
182272,2.56
184320,2.59
186368,2.72
188416,2.74
190464,2.78
192512,2.77
194560,2.88
196608,2.94
198656,2.91
200704,2.82
202752,2.85
204800,2.76
206848,2.68
208896,2.51
210944,2.39
212992,2.4
215040,2.38
217088,2.3
219136,2.23
221184,2.16
223232,2.12
225280,2.19
227328,2.17
229376,2.22
231424,2.3
233472,2.3
235520,2.24
237568,2.28
239616,2.36
241664,2.44
243712,2.41
245760,2.4
247808,2.38
249856,2.34
251904,2.36
253952,2.39
256000,2.4
258048,2.45
260096,2.32
262144,2.32
264192,2.35
266240,2.4
268288,2.37
270336,2.37
272384,2.47
274432,2.57
276480,2.57
278528,2.4
280576,2.41
282624,2.47
284672,2.42
286720,2.51
288768,2.43
290816,2.51
292864,2.62
294912,2.54
296960,2.62
299008,2.75
301056,2.82
303104,2.93
305152,2.92
307200,3.13
309248,3.1
311296,2.97
313344,3.11
315392,2.96
317440,3.02
319488,2.79
321536,2.81
323584,2.65
325632,2.67
327680,2.55
329728,2.5
331776,2.66
333824,2.64
335872,2.61
337920,2.46
339968,2.51
342016,2.48
344064,2.4
346112,2.42
348160,2.26
350208,2.17
352256,2.02
354304,1.95
356352,1.9
358400,1.88
360448,1.95
362496,1.95
364544,1.87
366592,1.98
368640,1.98
370688,2.02
372736,2.05
374784,2.12
376832,2.18
378880,2.24
380928,2.18
382976,2.29
385024,2.27
387072,2.31
389120,2.47
391168,2.67
393216,2.88
395264,2.87
397312,2.84
399360,2.81
401408,2.84
403456,2.71
405504,2.83
407552,2.91
409600,2.81
411648,2.56
413696,2.42
415744,2.51
417792,2.7
419840,2.79
421888,2.76
423936,2.75
425984,2.81
428032,2.93
430080,2.85
432128,2.91
434176,3.02
436224,2.98
438272,2.95
440320,2.88
442368,2.92
444416,2.85
446464,2.81
448512,2.83
450560,2.76
452608,2.88
454656,2.96
456704,2.97
458752,2.98
460800,3.08
462848,3.04
464896,2.87
466944,2.89
468992,3.03
471040,2.82
473088,2.81
475136,2.73
477184,2.64
479232,2.76
481280,2.55
483328,2.61
485376,2.64
487424,2.66
489472,2.43
491520,2.5
493568,2.48
495616,2.53
497664,2.66
499712,2.65
