step,avg_reward
2048,1.1818181818181819
4096,1.45
6144,1.4838709677419355
8192,1.5365853658536586
10240,1.4901960784313726
12288,1.5245901639344261
14336,1.5277777777777777
16384,1.6049382716049383
18432,1.5604395604395604
20480,1.48
22528,1.42
24576,1.5
26624,1.35
28672,1.33
30720,1.38
32768,1.25
34816,1.06
36864,1.15
38912,1.22
40960,1.31
43008,1.32
45056,1.35
47104,1.32
49152,1.37
51200,1.44
53248,1.5
55296,1.43
57344,1.34
59392,1.29
61440,1.24
63488,1.24
65536,1.26
67584,1.05
69632,1.07
71680,1.11
73728,1.14
75776,1.11
77824,1.08
79872,1.15
81920,1.21
83968,1.3
86016,1.39
88064,1.53
90112,1.71
92160,1.69
94208,1.77
96256,1.89
98304,2.08
100352,2.2
102400,2.3
104448,2.42
106496,2.5
108544,2.62
110592,2.53
112640,2.63
114688,2.74
116736,2.9
118784,2.77
120832,2.76
122880,2.88
124928,2.84
126976,2.81
129024,2.77
131072,2.81
133120,2.83
135168,2.64
137216,2.57
139264,2.57
141312,2.68
143360,2.65
145408,2.52
147456,2.55
149504,2.55
151552,2.57
153600,2.63
155648,2.7
157696,2.65
159744,2.69
161792,2.61
163840,2.7
165888,2.85
167936,2.97
169984,2.85
172032,2.97
174080,2.83
176128,2.72
178176,2.77
180224,2.75
182272,2.74
184320,2.58
186368,2.39
188416,2.4
190464,2.41
192512,2.32
194560,2.31
196608,2.31
198656,2.25
200704,2.32
202752,2.29
204800,2.34
206848,2.25
208896,2.22
210944,2.13
212992,2.08
215040,2.2
217088,2.29
219136,2.35
221184,2.25
223232,2.39
225280,2.45
227328,2.47
229376,2.42
231424,2.42
233472,2.44
235520,2.41
237568,2.36
239616,2.28
241664,2.3
243712,2.1
245760,2.03
247808,2.02
249856,2.05
251904,2.06
253952,2.12
256000,2.12
258048,2.2
260096,2.28
262144,2.37
264192,2.46
266240,2.57
268288,2.71
270336,2.77
272384,2.79
274432,2.92
276480,2.98
278528,3.04
280576,2.93
282624,3.08
284672,3.28
286720,3.32
288768,3.32
290816,3.3
292864,3.48
294912,3.58
296960,3.58
299008,3.67
301056,3.65
303104,3.73
305152,3.91
307200,3.52
309248,3.41
311296,3.36
313344,3.32
315392,3.19
317440,3.09
319488,3.12
321536,2.99
323584,3.07
325632,3.13
327680,3.05
329728,3.12
331776,3.15
333824,3.14
335872,3.14
337920,3.17
339968,3.28
342016,3.16
344064,3.02
346112,2.91
348160,2.82
350208,2.87
352256,2.99
354304,2.91
356352,3.02
358400,3.07
360448,3.0
362496,2.99
364544,2.97
366592,3.12
368640,3.29
370688,3.25
372736,3.22
374784,3.17
376832,3.23
378880,3.21
380928,3.2
382976,3.29
385024,3.37
387072,3.27
389120,3.22
391168,3.11
393216,3.04
395264,3.06
397312,3.12
399360,3.13
401408,2.98
403456,2.94
405504,2.9
407552,2.87
409600,2.89
411648,2.81
413696,2.86
415744,3.13
417792,3.11
419840,3.01
421888,2.86
423936,2.89
425984,2.97
428032,2.85
430080,2.84
432128,2.91
434176,3.14
436224,3.14
438272,2.9
440320,2.94
442368,2.99
444416,3.1
446464,3.12
448512,3.12
450560,3.19
452608,3.26
454656,3.19
456704,2.93
458752,2.96
460800,3.13
462848,3.08
464896,3.06
466944,3.03
468992,3.05
471040,2.92
473088,3.06
475136,3.15
477184,3.2
479232,3.26
481280,3.35
483328,3.22
485376,3.38
487424,3.43
489472,3.55
491520,3.53
493568,3.66
495616,3.79
497664,3.69
499712,3.65
